8,11.284693,0.942739
8,11.019218,0.677135
8,11.019326,0.677226
9,11.272676,0.905351
9,11.013681,0.646090
9,11.013937,0.646435
10,11.290506,0.904511
10,11.021997,0.635298
10,11.022157,0.636063
11,11.271359,0.877881
11,11.281270,0.887962
11,11.015180,0.621809
12,11.286504,0.887696
12,11.017800,0.619338
12,11.017840,0.619466
13,11.025242,0.625162
13,11.026182,0.626289
13,11.025433,0.625523
14,11.025628,0.623965
14,11.026969,0.625508
14,11.027311,0.625824
15,11.006666,0.604935
15,11.008029,0.606098
15,11.008656,0.606885
16,11.043857,0.641631
16,11.044341,0.642319
16,11.042024,0.639976
17,11.073331,0.670766
17,11.077260,0.674277
17,11.078833,0.676659
18,11.329958,0.927688
18,11.079134,0.676817
18,11.083832,0.681528
19,11.319619,0.916895
19,11.086914,0.669234
19,11.083725,0.676103
20,11.095556,0.691327
20,11.100158,0.697613
20,11.099314,0.696686
21,11.108097,0.705160
21,11.099271,0.696610
21,11.106507,0.704171
22,11.108889,0.706220
22,11.114786,0.712185
22,11.107303,0.704685
23,11.239461,0.836810
23,11.162493,0.759935
23,11.156948,0.754256
24,15.653858,5.251147
24,15.626443,5.223786
24,15.604054,5.201413
25,16.221158,5.818466
25,16.242590,5.840095
25,16.253499,5.850758
26,16.431111,6.028572
26,16.595260,6.192320
26,16.818721,6.415697
27,17.042279,6.636819
27,17.666494,7.260050
27,17.480633,7.068614
