8,13.678211,0.885609,20
8,13.423167,0.630295,20
8,13.422520,0.629310,20
9,13.498895,0.743372,19
9,13.767920,1.012856,19
9,13.771915,1.017057,19
10,13.428384,0.701158,18
10,13.662928,0.940480,18
10,13.661362,0.936652,18
11,13.381014,0.670954,17
11,13.438693,0.723766,17
11,14.187503,1.420279,17
12,13.338440,0.637821,16
12,13.342585,0.644088,16
12,13.400281,0.699786,16
13,13.334294,0.638681,15
13,13.334705,0.602205,15
13,13.334369,0.637255,15
14,13.592956,0.898970,14
14,13.334763,0.641155,14
14,13.353256,0.659026,14
15,13.620519,0.930163,13
15,13.394565,0.704516,13
15,13.385791,0.698831,13
16,13.590047,0.910737,12
16,13.532710,0.811426,12
16,13.339603,0.659057,12
17,13.528206,0.858240,11
17,13.378271,0.710131,11
17,13.359557,0.585756,11
18,14.017118,1.365237,10
18,14.439407,1.789153,10
18,14.069601,1.415875,10
19,15.623259,2.986809,9
19,16.145909,3.510993,9
19,16.148657,3.514783,9
20,18.091408,5.462185,8
20,16.527668,3.898031,8
20,17.396233,4.754452,8
21,18.306647,5.680309,7
21,17.041799,4.429214,7
21,18.823950,6.199857,7
22,18.198106,5.348692,6
22,17.442513,4.819455,6
22,17.320841,4.694903,6
23,18.546641,5.922177,5
23,18.878104,6.252280,5
23,18.459971,5.838929,5
24,48.637764,36.011097,4
24,48.709662,36.065139,4
24,48.794599,36.169628,4
25,70.019708,57.398573,3
25,69.972336,57.355360,3
25,70.094338,57.463390,3
26,81.027440,68.162773,2
26,81.065260,68.451413,2
26,81.091457,68.464592,2
27,89.584203,76.965555,1
27,89.546463,76.868416,1
27,89.654017,77.041439,1
