8,0.039437,22
9,0.040196,21
10,0.038779,20
11,0.039421,19
12,0.041909,18
13,0.042808,17
14,0.097257,16
15,0.085082,15
16,0.078695,14
17,0.063568,13
18,0.057046,12
19,0.050734,11
20,0.049946,10
21,0.053909,9
22,0.059448,8
23,0.068695,7
24,0.091003,6
8,0.038831,22
9,0.038496,21
10,0.071242,20
11,0.080881,19
12,0.056919,18
13,0.056276,17
14,0.050799,16
15,0.051038,15
16,0.093215,14
17,0.088433,13
18,0.051981,12
19,0.047998,11
20,0.046677,10
21,0.077591,9
22,0.085327,8
23,0.098877,7
24,0.150269,6
8,0.038977,22
9,0.050893,21
10,0.069269,20
11,0.042275,19
12,0.066359,18
13,0.072585,17
14,0.094564,16
15,0.078673,15
16,0.097065,14
17,0.07677,13
18,0.063143,12
19,0.061661,11
20,0.065628,10
21,0.07045,9
22,0.076233,8
23,0.090668,7
24,0.118347,6
8,0.039423,22
9,0.03903,21
10,0.043403,20
11,0.039448,19
12,0.076804,18
13,0.087879,17
14,0.071041,16
15,0.098222,15
16,0.074081,14
17,0.097882,13
18,0.090445,12
19,0.065691,11
20,0.060802,10
21,0.067314,9
22,0.068817,8
23,0.081421,7
24,0.107788,6
8,0.039039,22
9,0.039258,21
10,0.043836,20
11,0.041106,19
12,0.084213,18
13,0.047013,17
14,0.041914,16
15,0.039446,15
16,0.039513,14
17,0.03967,13
18,0.041001,12
19,0.039085,11
20,0.041359,10
21,0.043495,9
22,0.048157,8
23,0.063873,7
24,0.092773,6
8,0.043888,22
9,0.03876,21
10,0.039163,20
11,0.03926,19
12,0.039519,18
13,0.039749,17
14,0.039411,16
15,0.039449,15
16,0.039527,14
17,0.039682,13
18,0.061979,12
19,0.06419,11
20,0.08614,10
21,0.051529,9
22,0.056625,8
23,0.064972,7
24,0.086548,6
8,0.039302,22
9,0.038803,21
10,0.065039,20
11,0.083315,19
12,0.083631,18
13,0.085235,17
14,0.075218,16
15,0.043823,15
16,0.052668,14
17,0.054676,13
18,0.044391,12
19,0.044968,11
20,0.044415,10
21,0.046829,9
22,0.055695,8
23,0.072784,7
24,0.10321,6
8,0.039056,22
9,0.058563,21
10,0.060241,20
11,0.074792,19
12,0.058751,18
13,0.056699,17
14,0.09073,16
15,0.074133,15
16,0.076995,14
17,0.077869,13
18,0.071601,12
19,0.062243,11
20,0.059563,10
21,0.048378,9
22,0.049103,8
23,0.0578,7
24,0.075867,6
8,0.040453,22
9,0.046653,21
10,0.039118,20
11,0.039249,19
12,0.078344,18
13,0.042298,17
14,0.046024,16
15,0.044706,15
16,0.04772,14
17,0.045737,13
18,0.046055,12
19,0.046646,11
20,0.047916,10
21,0.050591,9
22,0.055618,8
23,0.065918,7
24,0.085815,6
8,0.039022,22
9,0.039285,21
10,0.078009,20
11,0.039013,19
12,0.043956,18
13,0.073465,17
14,0.045325,16
15,0.039765,15
16,0.070236,14
17,0.060387,13
18,0.047294,12
19,0.047913,11
20,0.047855,10
21,0.050491,9
22,0.048813,8
23,0.058289,7
24,0.07373,6
8,0.038795,22
9,0.038948,21
10,0.070819,20
11,0.074312,19
12,0.059297,18
13,0.051732,17
14,0.062967,16
15,0.04734,15
16,0.047402,14
17,0.041826,13
18,0.040024,12
19,0.04047,11
20,0.042595,10
21,0.044029,9
22,0.058289,8
23,0.068481,7
24,0.088379,6
8,0.039171,22
9,0.039141,21
10,0.039303,20
11,0.039484,19
12,0.039556,18
13,0.039962,17
14,0.068521,16
15,0.055243,15
16,0.05256,14
17,0.050919,13
18,0.047957,12
19,0.046654,11
20,0.048069,10
21,0.050529,9
22,0.054611,8
23,0.137665,7
24,0.123352,6
8,0.038863,22
9,0.038886,21
10,0.038871,20
11,0.039315,19
12,0.074197,18
13,0.040575,17
14,0.039412,16
15,0.039446,15
16,0.039505,14
17,0.044759,13
18,0.049277,12
19,0.108606,11
20,0.12384,10
21,0.148186,9
22,0.078293,8
23,0.082123,7
24,0.091675,6
8,0.041697,22
9,0.046167,21
10,0.038854,20
11,0.039364,19
12,0.082285,18
13,0.091149,17
14,0.089332,16
15,0.072441,15
16,0.068624,14
17,0.066144,13
18,0.066599,12
19,0.067551,11
20,0.08556,10
21,0.073387,9
22,0.082321,8
23,0.099426,7
24,0.124695,6
8,0.039222,22
9,0.05921,21
10,0.038796,20
11,0.05932,19
12,0.080351,18
13,0.065655,17
14,0.040775,16
15,0.040534,15
16,0.040597,14
17,0.039649,13
18,0.041066,12
19,0.041519,11
20,0.042679,10
21,0.043884,9
22,0.061478,8
23,0.082611,7
24,0.109314,6
